track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
2AljG7lFywSjjLBVMOhm7s,i like the way you kiss me - Marlon Hoffstadt aka DJ Daddy Trance remix,199083,46,False,,,,,,"hard house, eurodance, techno, trance, hard house, eurodance, hypertechno, techno, trance"
1QhtyPVcTEoRa6fkizTwkj,Dreaming - Casper Cole Remix,265365,9,False,,,,,,"melodic house, afro tech, melodic techno, afro house"
2M5IlFTxs1ZtdHWHuWCXTl,Crazy Right Now - Andy Murphy Remix,186461,18,False,,,,,,
3jxbAI2diYt8Hub0KMX4Vy,FATE,202181,29,False,,,,,,"techno, hard techno, techno, hard house, trance"
5dpDrUG52yI3s1AQRlaypA,All Downhill From Here,192426,1,False,,,,,,"pop punk, punk, emo"
5w9UIKPFx7KMZWEr07KP1F,Disco Gnome,517500,16,False,,,,,,
2TZeEO80lYoaKLOQkbvavK,They Don't Know Us,195356,0,False,,,,,,
5eCkuGPZNl4mISFNPgr3Dd,Down,197773,54,False,,,,,,
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,195706,79,False,,,,,,"edm, electronica, progressive house"
22eNdxGb4tEvBt0nBCp52o,Zombie,246186,55,False,,,,,,indie
3AjyOYxBv8bByfBtG5o9dP,See You Again,190453,69,False,,,,,,
4hiUYb2nb6NlfTP9CD38Pe,On My Way,183710,0,False,,,,,,"edm, trance, big room, house, tropical house"
5zstGbYLZtqURQGakwa3gZ,Noso,443189,0,False,,,,,,"melodic techno, melodic house, tech house, neoclassical, melodic house"
1IEMI8XjtORqBnqc40SX8X,Hypno,238544,0,False,,,,,,future house
7kBP4kOVgeAv7NWcpowA4y,The Struggle,211310,30,False,,,,,,
36nPlDj5WyjXFjRUUc8KFe,Shine,330378,0,False,,,,,,"hard techno, acid techno, techno, hardcore techno, tekno"
5rFfwssa9fgfBikDG5lGOn,Pulses,364810,26,False,,,,,,"melodic techno, melodic house, techno"
5IlRYF58hRv5E0D2fykZXX,August Dub,219047,0,False,,,,,,
5WdA2kYuuxBUIccDALUYpW,Schall & Schweiss,312906,0,False,,,,,,"techno, hard techno, neue deutsche welle"
05mAIVLkIWc2d1UBYZBCp8,1999,189000,59,False,,,,,,"hyperpop, art pop"
3ZcClV5rM3SjfnxQb2C8pt,Helix,224637,0,False,,,,,,"progressive trance, trance, progressive house, progressive trance, melodic techno"
24G6CP8In91mf5faNb1xdq,Anxiety,218293,0,False,,,,,,"nu metal, rap metal, alternative metal, rap rock, rock"
6Wq5gz99tCreNMJ9Cp72XU,Schatten,200148,44,False,,,,,,"hard techno, techno, hard house"
7oHdGobTs66dcu7lA4TEWd,Drop It Down,132500,44,False,,,,,,"hard house, eurodance, trance, uk garage, hypertechno"
1DBkGLzWwGFdap1hRbpolr,Man in the Sixties,222000,0,False,,,,,,surf rock
4mnh62PDIRgMW80PSAP6DI,Tones Map (Chris Liebing Burn Slow Remix),402158,0,False,,,,,,"techno, minimal techno, acid techno, idm, experimental"
08kzhb1Ydc8VBNENUNFN4R,Amber (Dance),165151,1,False,,,,,,
6R1hD9xyWfJcxVLsUnZYXg,Embrace,329773,0,False,,,,,,
125ABiFu87TxipoWAMK8LR,Want You In My Soul,497521,54,False,,,,,,"deep house, nu disco"
2kf4dju8frqCzKbwKW1lnW,Sleepless Nights,437463,0,False,,,,,,"melodic techno, progressive house, melodic house"
53lCLhb2hNzMjBPNWmJoz3,Sweet Addiction,215493,0,False,,,,,,"nu disco, french house, french indie pop, disco house, funky house, indie dance, french indie pop"
3LQK5ArAQUVLrrGnheNao7,Twisted Game,162422,0,False,,,,,,garage rock
5uKvLt1ya0MBs8Y2jGD61f,Plastic People,430745,40,False,,,,,,"techno, acid techno, hard techno, tekno, minimal techno"
7dsO7sKTEdix1pe1t7SmP0,Sucker (from the series Arcane League of Legends),224293,0,True,,,,,,"modern blues, blues rock"
24PqR040n1lcb5xygrgTMz,Cream On Chrome,235362,35,False,,,,,,
2FqOpyYhgo3ZMgtkY55PVz,Kaleidoscope Colours,255466,40,False,,,,,,"melodic house, melodic techno, deep house, melodic house"
3LbW5DzMKBfJl6eG2Y11mz,Hidden Worlds - Rave Mix,339130,0,False,,,,,,lo-fi house
2rbFtUavdI0STYRtp9OF00,Moonlight Party,413533,0,False,,,,,,
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,229640,79,False,,,,,,indie
6D5pfooPP6hi99RaXjkDsP,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,214912,4,False,,,,,,edm
